ItemID,ItemNumber,ItemName,CategoryList,CategoryListIDs,ProductStatus,Bullets,ShortDescriptionForCategoryList,BasePrice,RetailPrice,Cost,Manufacturer,ManufacturerPartNumber,AdvancedPricing,ItemImages,ItemPrimaryImageUrl,ItemPrimaryImageAltText,ItemThumbnailUrl,ItemThumbnailAltText,UseTabs,UseTabsThemesOverride,RelatedProductNameOverride,LongDescription1,LongDescriptionName1,LongDescription2,LongDescriptionName2,LongDescription3,LongDescriptionName3,LongDescription4,LongDescriptionName4,LongDescription5,LongDescriptionName5,LongDesc1ExternalUrl,LongDesc2ExternalUrl,LongDesc3ExternalUrl,LongDesc4ExternalUrl,LongDesc5ExternalUrl,BulletsExternalUrl,SizeHeight,SizeLength,SizeWidth,SizeUnit,Weight,WeightUnit,MinimumOrderQuantity,MaximumOrderQuantity,WarehouseName,CallForShippingFlag,ShipsIndividually,NonShippingItem,CallForPricingFlag,NoTax,CustomMetaKeywords,CustomMetaDescription,CustomPageTitle,InactiveStoreList,QuickBooksListID,IsQuickBooksGroup,SortOrder,Variation1Group,Variation1Description,Variation1Surcharge,Variation1SurchargeType,Variation1ItemNumberExtension,Variation2Group,Variation2Description,Variation2Surcharge,Variation2SurchargeType,Variation2ItemNumberExtension,Variation3Group,Variation3Description,Variation3Surcharge,Variation3SurchargeType,Variation3ItemNumberExtension,QuantityDiscount1Quantity,QuantityDiscount1Price,QuantityDiscount2Quantity,QuantityDiscount2Price,QuantityDiscount3Quantity,QuantityDiscount3Price,QuantityDiscount4Quantity,QuantityDiscount4Price,QuantityDiscount5Quantity,QuantityDiscount5Price,QuantityDiscount6Quantity,QuantityDiscount6Price,QuantityDiscount7Quantity,QuantityDiscount7Price,QuantityDiscount8Quantity,QuantityDiscount8Price,QuantityDiscount9Quantity,QuantityDiscount9Price,QuantityDiscount10Quantity,QuantityDiscount10Price,SpotLightItem,FeaturedItem,CustomFlag1,CustomFlag2,CustomFlag3,DuplicateRowOnlyAddCategoryData,OverwriteAllDataWithThisRow,Hide,AttributeList,ProductUrl,CustomUrl,RelatedItemsList,ProductGroup,ProductGroupType,NumberInStock,OnOrderQuantity,LowStockQuantity,LowStockWarningsEnabled,LimitShippingRegion,BreakOutShipping,ShippingClassificationCode,CallForShippingWholeOrder,DropShipping,DeleteProduct,Discontinued,ETADate,ShippingAdjustmentType,ShippingAdjustments,TaxCode,UseMapPricing,LastItemNr,DoNotDiscount,Personalizations,HeadTags,HandlingFee,eProductType,eProductDeliveryLinkAction,eProductRandomExpireDays,eProductMultipleDelivery,eProductURL,eProductEmail,eProductSerialNumberFilePath,CustomUpsellPageURL,MultiplesOfQuantity,StartingQuantity,GTIN,IsSubscriptionProduct,SubscriptionFrequency,SubscriptionFrequencyType,RequireCreditCard,NonInventory,ExcludeFromCommissions,AddToCartMessage,NoPriceMask,DaysUntilReorderAllowed,ForceSeparateOrder,ApprovalRequired,EarnsPoints,InelligibleForPurchaseByPoints,AdditionalPointsEarned,SalesRank,HideVariantSurcharges,MasterProduct,Layouts,EProductGenericUsername,EProductGenericPassword,VendorStoreId,ShipperHQShippingGroups,ShipperHQDimensionalRuleGroups,ShipperHQPackingBoxes,ShipperHQOrigins,FreightClass,HSCode,IsExemptFromMinOrderAmount,BingAdsGrouping,BingAdsLabels,Bingads_redirect,BingExclude,BingProductCategory,DealExpiration,DealStartDate,AgeGroup,Color,Condition,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,Gender,Material,MPN,MPNStripPrefix,Pattern,GoogleShippingLabel,Size,AdwordsExcludedDestination,AdwordsGrouping,AdwordsLabels,GoogleProductCategory,PriceWithDiscount,1ozSizeLink,3ozSizeLink,BatchSize,BeardBag,BelowItemNameMessage,FullSizeLink,GoogleExclude,promotion_id,tags,TrialSizeLink
26,oil-tw,Tumbleweed Beard Oil,All Products > Beard Care > Beard Oil & Balm > Beard Oils|Scents > Tumbleweed|All Products > Beard Care > Beard Oil & Balm > Singles,19|51|66,In Stock,,All Natural Man Made Beard Oil with a subtle natural scent,15.9900,15.9900,0,Texas Beard Company,oil-tw,~Wholesale~~1~0.0000~7.9900~~~~~,/Shared/Images/Product/Tumbleweed-Beard-Oil/beard-oil-tumbleweed-dropper.jpg~True~~~0~~~False~False~~False,/Shared/Images/Product/Tumbleweed-Beard-Oil/beard-oil-tumbleweed-dropper.jpg,,,,False,False,,"<p>Tumbleweed Beard Oil is our unscented variety. If you don't care for added scents or if you wear a cologne this will fit your bill. Has all of the moisturizing, health-adding benefits as our other blends. There is a <em>slight</em> earthy aroma that comes from the natural oils if you have a dog-like sense of smell.</p>

<p>

This is our original size, 1 fluid ounce. This is enough oil to last most beards 3-4 months with daily use.

</p>",,"<p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Oil Blend</p><ul>

<li>Golden Jojoba Oil

</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul>

<li>none</li></ul>",,,,,,,,,,,,,,,,,In,0.2200,Lbs,0,0,,False,False,False,False,False,,,,,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,,,False,,/natural-beard-oils/tumbleweed-unscented-beard-oil,/natural-beard-oils/tumbleweed-unscented-beard-oil,,,SellItemsInKitWithParent,74,0,,False,,False,,False,False,,False,,auto,,,False,BatchA,False,,,0.0000,0,,0,0,,,,,1,1,791154095577,False,,,False,True,False,,,0,False,False,True,False,0,34,False,,,,,,,,,,,,False,,,,False,,,,adult,,new,,,,,,male,,,,,,,,,,Health & Beauty > Personal Care > Shaving & Grooming,,,/natural-beard-oils/tumbleweed-unscented-beard-oil-3oz,0,,,,False,,Beard-Oils,/natural-beard-care/beard-oil/tumbleweed-beard-oil-1/4oz-trial-size
27,oil-cz,Clove Citrus Beard Oil,All Products > Beard Care > Beard Oil & Balm > Beard Oils|Scents > Clove Citrus|All Products > Beard Care > Beard Oil & Balm > Singles,19|59|66,In Stock,,,15.9900,15.9900,0,Texas Beard Company,oil-cz,~Wholesale~~1~0.0000~7.9900~~~~~|~Default~~4~0.0000~11.9900~~~~~,/Shared/Images/Product/Clove-Citrus-Beard-Oil/beard-oil-clove-citrus-dropper.jpg~True~~~0~~~False~False~~False,/Shared/Images/Product/Clove-Citrus-Beard-Oil/beard-oil-clove-citrus-dropper.jpg,,,,False,False,,"<p>

Make your beard magestic! Texas Beard Company <strong>Beard Oil</strong> is a carefully hand-mixed blend of <strong>All Natural</strong> oils mixed with a subtle amount of essential oils to make your beard smell as good as it looks.</p><p>

Extensive testing on bearded Texas men NOT animals (although they have been called worse) has resulted in the perfect blend of scents.</p><p>

The Clove Citrus blend features classic Clove scent mixed with Orange, Tangerine, and Grapefruit essential oils.</p><p>

So step up your facial hair game and turn that scraggle and scruff into something great.</p>



<p>

This is our original size, 1 fluid ounce. This is enough oil to last most beards 3-4 months with daily use.

</p>",,<p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Oil Blend</p><ul><li>Golden Jojoba Oil</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado&nbsp;Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul><li>Clove Oil</li><li>Orange Oil</li><li>Tangerine Oil</li><li>Grapefruit Oil</li></ul>,,,,,,,,,,,,,,,,,In,0.2200,Lbs,0,0,,False,False,False,False,False,,,,,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,,,False,,/natural-beard-oils/clove-citrus-beard-oil,/natural-beard-oils/clove-citrus-beard-oil,,,SellItemsInKitWithParent,49,0,,False,,False,,False,False,,False,,auto,,,False,oil-tw-clone1,False,,,0.0000,0,,0,0,,,,,1,1,791154095966,False,,,False,True,False,,,0,False,False,True,False,0,7,False,,,,,,,,,,,,False,,,,False,,,,adult,,new,,,,,,male,,,,,,,,,,Health & Beauty > Personal Care > Shaving & Grooming,,,/natural-beard-oils/clove-citrus-beard-oil-3oz,0,,,,False,,Beard-Oils,/natural-beard-care/beard-oil/clove-citrus-beard-oil-1/4oz-trial-size
28,oil-pep,Mint Eucalyptus Beard Oil,All Products > Beard Care > Beard Oil & Balm > Beard Oils|Scents > Mint Eucalyptus|All Products > Beard Care > Beard Oil & Balm > Singles,19|55|66,In Stock,,,15.9900,15.9900,0,Texas Beard Company,oil-pep,~Wholesale~~1~0.0000~7.9900~~~~~|~Default~~4~0.0000~11.9900~~~~~,/Shared/Images/Product/Mint-Eucalyptus-Beard-Oil/beard-oil-mint-eucalyptus-dropper.jpg~True~~~0~~~False~False~~False,/Shared/Images/Product/Mint-Eucalyptus-Beard-Oil/beard-oil-mint-eucalyptus-dropper.jpg,,,,False,False,,"<p>Mint Eucalyptus Beard Oil is a refreshing blend that really opens up your sinuses. Imagine going all day without cleaning out the toothpaste from your beard. That's Mint Eucalyptus.

</p>

<p>

This is our original size, 1 fluid ounce. This is enough oil to last most beards 3-4 months with daily use.

</p>",,"<p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Oil Blend</p><ul>

<li>Golden Jojoba Oil

</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul>

<li>Peppermint Oil</li><li>Eucalyptus Oil</li></ul>",,,,,,,,,,,,,,,,,In,0.2200,Lbs,0,0,,False,False,False,False,False,,,,,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,,,False,,/natural-beard-oils/mint-eucalyptus-beard-oil,/natural-beard-oils/mint-eucalyptus-beard-oil,,,SellItemsInKitWithParent,71,0,,False,,False,,False,False,,False,,auto,,,False,oil-tw-clone1,False,,,0.0000,0,,0,0,,,,,1,1,791154095874,False,,,False,True,False,,,0,False,False,True,False,0,9,False,,,,,,,,,,,,False,,,,False,,,,adult,,new,,,,,,male,,,,,,,,,,Health & Beauty > Personal Care > Shaving & Grooming,,,/natural-beard-oils/mint-eucalyptus-beard-oil-3oz,0,,,,False,,Beard-Oils,/natural-beard-care/beard-oil/mint-eucalyptus-beard-oil-1/4oz-trial-size
29,balm-tw,Tumbleweed Beard Balm,All Products > Beard Care > Beard Oil & Balm > Beard Balms|Scents > Tumbleweed|All Products > Beard Care > Beard Oil & Balm > Singles,20|51|66,In Stock,,,19.9900,19.9900,0,Texas Beard Company,balm-tw,~Wholesale~~1~0.0000~9.9900~~~~~|~Default~~4~0.0000~14.9900~~~~~,/Shared/Images/Product/Tumbleweed-Beard-Balm/TumbleweedBeardBalm.jpg~False~~~0~~~False~False~~False|/Shared/Images/Product/Tumbleweed-Beard-Balm/TumbleweedBeardBalm2.jpg~False~~~0~~~False~False~~False|/Shared/Images/Product/Tumbleweed-Beard-Balm/beard-balm-tumbleweed.jpg~True~~~0~~~False~False~~False,/Shared/Images/Product/Tumbleweed-Beard-Balm/beard-balm-tumbleweed.jpg,,,,False,False,,"<p>Tumbleweed Beard Balm is for the beardsman that loves a nose full of the natural. &nbsp;Tumbleweed is only made with our base ingredients and has no added essential (scent) oils. This is a great choice if you wear cologne and don't want conflicting scents.</p><p>Texas Beard Company Beard Balm is has similar properties and benefits to our <a href=""https://www.texasbeardcompany.com/beard-oil"">all natural beard oils</a>. It will help keep your hair healthy, strong, and manageable.</p><p>In addition to oils we blend in naturally deodorized Shea Butter, Cocoa Butter, and Coconut oil. We use naturally deodorized butters because you don't want your balm to smell like chocolate!</p><p>Unlike other balms on the market, ours has no wax. This means that our balm will not be as hard as others and also much easier to apply.</p><p>Comes in a 2oz tin.</p>",,"<p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Balm Blend</p><ul>
<li>Cocoa Butter</li><li>Shea Butter</li><li>Coconut Oil</li><li>Golden Jojoba Oil</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul>
<li>none</li></ul>",,,,,,,,,,,,,,,,,In,0.2100,Lbs,0,0,,False,False,False,False,False,,,,,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,,,False,,/natural-beard-balms/tumbleweed-unscented-beard-balm,/natural-beard-balms/tumbleweed-unscented-beard-balm,,,SellItemsInKitWithParent,91,0,,False,,False,,False,False,,False,,auto,,,False,,False,,,,0,,0,0,,,,,1,1,791154095591,False,,,False,True,False,,,0,False,False,True,False,0,23,False,,,,,,,,,,,,False,,,,False,,,,adult,,new,,,,,,male,,,,,,,,,,Health & Beauty > Personal Care > Shaving & Grooming,,,,0,,,,False,,Beard-Balms,
30,balm-cz,Clove Citrus Beard Balm,All Products > Beard Care > Beard Oil & Balm > Beard Balms|Scents > Clove Citrus|All Products > Beard Care > Beard Oil & Balm > Singles,20|59|66,In Stock,,,19.9900,19.9900,0,Texas Beard Company,balm-cz,~Wholesale~~1~0.0000~9.9900~~~~~|~Default~~4~0.0000~14.9900~~~~~,/Shared/Images/Product/Clove-Citrus-Beard-Balm/Y0tONDolljxEWAWi3SzcoLYVZoH4NDmiqBhwNpc4le8.jpg~False~~~0~~~False~False~~False|/Shared/Images/Product/Clove-Citrus-Beard-Balm/clove-citrus-balm.jpg~False~~~0~~~False~False~~False|/Shared/Images/Product/Clove-Citrus-Beard-Balm/beard-balm-clove-citrus.jpg~True~~~0~~~False~False~~False,/Shared/Images/Product/Clove-Citrus-Beard-Balm/beard-balm-clove-citrus.jpg,,,,False,False,,"<p>Texas Beard Company Beard Balm is has similar properties and benefits to our <a href=""https://www.texasbeardcompany.com/beard-oil"" style=""font-size: 1em;"">all natural beard oils</a>. It will help keep your hair healthy, strong, and manageable.</p><p>In addition to oils we blend in naturally deodorized Shea Butter, Cocoa Butter, and Coconut oil. We use naturally deodorized butters because you don't want your balm to smell like chocolate!</p><p>Unlike other balms on the market, ours has no wax. This means that our balm will not be as hard as others and also much easier to apply.</p><p>Comes in a 2oz tin.</p>",,"<p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Balm Blend</p><ul>
<li>Cocoa Butter</li><li>Shea Butter</li><li>Coconut Oil</li><li>Golden Jojoba Oil</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul>
<li>Clove Oil</li><li>Orange Oil</li><li>Tangerine Oil</li><li>Grapefruit Oil</li></ul>",,,,,,,,,,,,,,,,,In,0.2100,Lbs,0,0,,False,False,False,False,False,,,,,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,,,False,,/natural-beard-balms/clove-citrus-beard-balm,/natural-beard-balms/clove-citrus-beard-balm,,,SellItemsInKitWithParent,76,0,,False,,False,,False,False,,False,,auto,,,False,balm-tw-clone1,False,,,,0,,0,0,,,,,1,1,791154095973,False,,,False,True,False,,,0,False,False,True,False,0,12,False,,,,,,,,,,,,False,,,,False,,,,adult,,new,,,,,,male,,,,,,,,,,Health & Beauty > Personal Care > Shaving & Grooming,,,,0,,,,False,,Beard-Balms,
31,balm-pep,Mint Eucalyptus Beard Balm,All Products > Beard Care > Beard Oil & Balm > Beard Balms|Scents > Mint Eucalyptus|All Products > Beard Care > Beard Oil & Balm > Singles,20|55|66,In Stock,,,19.9900,19.9900,0,Texas Beard Company,balm-pep,~Wholesale~~1~0.0000~9.9900~~~~~|~Default~~4~0.0000~14.9900~~~~~,/Shared/Images/Product/Mint-Eucalyptus-Beard-Balm/fgMZ0CIsCV1D4-wt7VjwEe8OTH7emGK-DRGTTNqRcxA.jpg~False~~~0~~~False~False~~False|/Shared/Images/Product/Mint-Eucalyptus-Beard-Balm/b3igGYGoKdcgmNvu3ZBTRK0IwzL5Ktgb011oNJL4WPw.jpg~False~~~0~~~False~False~~False|/Shared/Images/Product/Mint-Eucalyptus-Beard-Balm/beard-balm-mint-eucalyptus.jpg~True~~~0~~~False~False~~False,/Shared/Images/Product/Mint-Eucalyptus-Beard-Balm/beard-balm-mint-eucalyptus.jpg,,,,False,False,,"<p>Texas Beard Company Beard Balm is has similar properties and benefits to our&nbsp;<a href=""/beard-oil"">all natural beard oils</a>. It will help keep your hair healthy, strong, and manageable.</p><p>In addition to oils we blend in naturally deodorized Shea Butter, Cocoa Butter, and Coconut oil. We use naturally deodorized butters because you don't want your balm to smell like chocolate!</p><p>Unlike other balms on the market, ours has no wax. This means that our balm will not be as hard as others and also much easier to apply.</p><p>Comes in a 2oz tin.</p>",,<p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Balm Blend</p><ul><li>Cocoa Butter</li><li>Shea Butter</li><li>Coconut Oil</li><li>Golden Jojoba Oil</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul><li>Peppermint Oil</li><li>Eucalyptus Oil</li></ul>,,,,,,,,,,,,,,,,,In,0.2100,Lbs,0,0,,False,False,False,False,False,,,,,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,,,False,,/natural-beard-balms/mint-eucalyptus-beard-balm,/natural-beard-balms/mint-eucalyptus-beard-balm,,,SellItemsInKitWithParent,67,0,,False,,False,,False,False,,False,,auto,,,False,balm-cz-clone1,False,,,,0,,0,0,,,,,1,1,791154095881,False,,,False,True,False,,,0,False,False,True,False,0,10,False,,,,,,,,,,,,False,,,,False,,,,adult,,new,,,,,,male,,,,,,,,,,Health & Beauty > Personal Care > Shaving & Grooming,,,,0,,,,False,,Beard-Balms,
35,oil-bt,Big Thicket Beard Oil,All Products > Beard Care > Beard Oil & Balm > Beard Oils|Scents > Big Thicket|All Products > Beard Care > Beard Oil & Balm > Singles,19|61|66,In Stock,,All Natural Man Made Beard Oil with a Cedarwood and Pine needle scent,15.9900,15.9900,0,Texas Beard Company,oil-bt,~Wholesale~~1~0.0000~7.9900~~~~~|~Default~~4~0.0000~11.9900~~~~~,/Shared/Images/Product/Big-Thicket-Beard-Oil/refueled.jpg~False~~~0~~~False~False~~False|/Shared/Images/Product/Big-Thicket-Beard-Oil/beard-oil-big-thicket-dropper.jpg~True~~~0~~~False~False~~False,/Shared/Images/Product/Big-Thicket-Beard-Oil/beard-oil-big-thicket-dropper.jpg,,,,False,False,,"<p>

	This Big Thicket Beard Oil from Texas Beard Company will have your beard tamed and smelling like you just came home from a day of choppin wood.

</p>

<p>

	Big Thicket is scented with a subtle blend of Cedarwood and Pine Needle essential oils to smell just like the famous Texas forest.

</p>

<p>

This is our original size, 1 fluid ounce. This is enough oil to last most beards 3-4 months with daily use.

</p>



<blockquote>Texas Beard Company's Big Thicket Beard Oil, with its Cedarwood & Pine Needles scent makes me feel like I'm back adventuring in the deep Texas woods.<br>

	<cite><em>Chris Brown / Publisher Refueled Magazine</em></cite>

</blockquote>",,"<p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Oil Blend</p><ul>

<li>Golden Jojoba Oil

</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul>

<li>Cedarwood</li><li>Pine Needle</li></ul>",,,,,,,,,,,,,,,,,In,0.2200,Lbs,0,0,,False,False,False,False,False,,,,,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,,,False,,/natural-beard-oils/big-thicket-beard-oil,/natural-beard-oils/big-thicket-beard-oil,,,SellItemsInKitWithParent,31,0,,False,,False,,False,False,,False,,auto,,,False,oil-tw-clone1,False,,,0.0000,0,,0,0,,,,,1,1,791154096000,False,,,False,True,False,,,0,False,False,True,False,0,4,False,,,,,,,,,,,,False,,,,False,,,,adult,,new,,,,,,male,,,,,,,,,,Health & Beauty > Personal Care > Shaving & Grooming,,,/natural-beard-oils/big-thicket-beard-oil-3oz,0,,,,False,,Beard-Oils,/natural-beard-care/beard-oil/big-thicket-beard-oil-1/4oz-trial-size
41,oil-tw-3oz,Tumbleweed Beard Oil - 3oz Bottle,All Products > Beard Care > Beard Oil & Balm > Beard Oils|Scents > Tumbleweed|All Products > Beard Care > Beard Oil & Balm > Singles,19|51|66,In Stock,,All Natural Man Made Beard Oil with a subtle natural scent,29.9900,29.9900,0,Texas Beard Company,oil-tw-3oz,~Wholesale~~1~0.0000~14.9900~~~~~|~Default~~4~0.0000~22.4900~~~~~,/Shared/Images/Product/Tumbleweed-Beard-Oil-3oz-Bottle/beard-oil-tumbleweed-3oz.jpg~True~~~0~~~False~False~~False,/Shared/Images/Product/Tumbleweed-Beard-Oil-3oz-Bottle/beard-oil-tumbleweed-3oz.jpg,,,,False,False,,"<p></p><p>Tumbleweed Beard Oil is our unscented variety. If you don't care for added scents or if you wear a cologne this will fit your bill. Has all of the moisturizing, health-adding benefits as our other blends. There is a <em>slight</em> earthy aroma that comes from the natural oils if you have a dog-like sense of smell.</p>
<p>This is our large size, 3 fluid ounce.</p><p></p>",,"<p>Texas Beard Company products are made with all natural ingredients.</p>
<p>Base Oil Blend</p>
<ul>

<li>Golden Jojoba Oil

</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul>
<p>Essential Oil (Scent) Blend</p>
<ul>

<li>none</li></ul>",,,,,,,,,,,,,,,,,In,0.4440,Lbs,0,0,,False,False,False,False,False,,,,,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,,,False,,/natural-beard-oils/tumbleweed-unscented-beard-oil-3oz,/natural-beard-oils/tumbleweed-unscented-beard-oil-3oz,,,NoProductGrouping,97,0,,False,,False,,False,False,,False,,auto,,,False,"oil-cherry-3oz,oil-tw-3oz",False,,,0.0000,0,,0,0,,,,,1,1,791154095577,False,,,False,True,False,,,0,False,False,True,False,0,43,False,,,,,,,,,,,,False,,,,False,,,,adult,,new,,,,,,male,,,,,,,,,,Health & Beauty > Personal Care > Shaving & Grooming,,/natural-beard-oils/tumbleweed-unscented-beard-oil,,0,,,,False,,Beard-Oils 3oz,/natural-beard-care/beard-oil/tumbleweed-beard-oil-1/4oz-trial-size
45,oil-cz-3oz,Clove Citrus Beard Oil - 3oz,All Products > Beard Care > Beard Oil & Balm > Beard Oils|Scents > Clove Citrus|All Products > Beard Care > Beard Oil & Balm > Singles,19|59|66,In Stock,,All Natural Man Made Beard Oil with a subtle natural scent,29.9900,29.9900,0,Texas Beard Company,oil-cz-3oz,~Wholesale~~1~0.0000~14.9900~~~~~|~Default~~4~0.0000~22.4900~~~~~,/Shared/Images/Product/Clove-Citrus-Beard-Oil-3oz/HlVHFMXzPWVMIM-7AwOvMF2lzWpWRtZnSM-6kNgQcPc.jpg~False~~~0~~~False~False~~False|/Shared/Images/Product/Clove-Citrus-Beard-Oil-3oz/beard-oil-clove-citrus-3oz.jpg~True~~~0~~~False~False~~False,/Shared/Images/Product/Clove-Citrus-Beard-Oil-3oz/beard-oil-clove-citrus-3oz.jpg,,,,False,False,,"<p>Make your beard magestic! Texas Beard Company <strong style=""font-size: 1em;"">Beard Oil</strong> is a carefully hand-mixed blend of <strong style=""font-size: 1em;"">All Natural</strong> oils mixed with a subtle amount of essential oils to make your beard smell as good as it looks.</p><p>Extensive testing on bearded Texas men NOT animals (although they have been called worse) has resulted in the perfect blend of scents.</p><p>The Clove Citrus blend features classic Clove scent mixed with Orange, Tangerine, and Grapefruit essential oils.</p><p>So step up your facial hair game and turn that scraggle and scruff into something great.</p>",,"<p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Oil Blend</p><ul><li>Golden Jojoba Oil

</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul><li>Clove</li><li>Orange</li><li>Tangerine</li><li>Grapefruit</li></ul>",,,,,,,,,,,,,,2,10,6,In,0.4440,Lbs,0,0,,False,False,False,False,False,,,,,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,,,False,,/natural-beard-oils/clove-citrus-beard-oil-3oz,/natural-beard-oils/clove-citrus-beard-oil-3oz,,,NoProductGrouping,94,0,,False,,False,,False,False,,False,,auto,,,False,oil-tw-3oz-clone1,False,,,0.0000,0,,0,0,,,,,1,1,791154095959,False,,,False,True,False,,,0,False,False,True,False,0,27,False,,,,,,,,,,,,False,,,,False,,,,adult,,new,,,,,,male,,,,,,,,,,Health & Beauty > Personal Care > Shaving & Grooming,,/natural-beard-oils/clove-citrus-beard-oil,,0,,,,False,,Beard-Oils 3oz,/natural-beard-care/beard-oil/clove-citrus-beard-oil-1/4oz-trial-size
46,oil-bt-3oz,Big Thicket Beard Oil - 3oz,All Products > Beard Care > Beard Oil & Balm > Beard Oils|Scents > Big Thicket|All Products > Beard Care > Beard Oil & Balm > Singles,19|61|66,In Stock,,,29.9900,29.9900,0,Texas Beard Company,oil-bt-3oz,~Wholesale~~1~0.0000~14.9900~~~~~|~Default~~4~0.0000~22.4900~~~~~,/Shared/Images/Product/Big-Thicket-Beard-Oil-3oz/0wBi3-UTnH26E9Y1q3BGfMAT1H2n1K-jdLwzRWOWvRI.jpg~False~~~0~~~False~False~~False|/Shared/Images/Product/Big-Thicket-Beard-Oil-3oz/refueled.jpg~False~~~0~~~False~False~~False|/Shared/Images/Product/Big-Thicket-Beard-Oil-3oz/beard-oil-big-thicket-3oz.jpg~True~~~0~~~False~False~~False,/Shared/Images/Product/Big-Thicket-Beard-Oil-3oz/beard-oil-big-thicket-3oz.jpg,,,,False,False,,"<p>

	This Big Thicket Beard Oil from Texas Beard Company will have your beard tamed and smelling like you just came home from a day of choppin wood.

</p>

<p>

	Big Thicket is scented with a subtle blend of Cedarwood and Pine Needle essential oils to smell just like the famous Texas forest.

</p>

<blockquote>

	Texas Beard Company's Big Thicket Beard Oil, with its Cedarwood & Pine Needles scent makes me feel like I'm back adventuring in the deep Texas woods.<br>

	<cite><em>Chris Brown / Publisher Refueled Magazine</em></cite>

</blockquote>",,"<p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Oil Blend</p><ul>

<li>Golden Jojoba Oil

</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul>

<li>Cedarwood</li><li>Pine Needle</li></ul>",,,,,,,,,,,,,,,,,In,0.4440,Lbs,0,0,,False,False,False,False,False,,,,,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,,,False,,/natural-beard-oils/big-thicket-beard-oil-3oz,/natural-beard-oils/big-thicket-beard-oil-3oz,,,NoProductGrouping,84,0,,False,,False,,False,False,,False,,auto,,,False,oil-tw-3oz-clone1-clone1,False,,,0.0000,0,,0,0,,,,,1,1,791154095997,False,,,False,True,False,,,0,False,False,True,False,0,13,False,,,,,,,,,,,,False,,,,False,,,,adult,,new,,,,,,male,,,,,,,,,,Health & Beauty > Personal Care > Shaving & Grooming,,/natural-beard-oils/big-thicket-beard-oil,,0,,,,False,,Beard-Oils 3oz,/natural-beard-care/beard-oil/big-thicket-beard-oil-1/4oz-trial-size
